Rank,College Name,Undergraduate Tuition & Fees($),Graduate Tuition & Fees($),SAT Score,Acceptance Rate,Population,Graduation Rate,Student:Faculty Ratio
110,"Binghamton UniversityVestal, NY",29453,26260,1410,0.38,18456,0.84,18.00
111,"Stony Brook UniversityStony Brook, NY",30350,27123,1410,0.49,25865,0.78,19.00
112,"Florida Institute of TechnologyMelbourne, FL",44360,23280,1210,0.63,8516,0.65,13.00
113,"University of ArkansasFayetteville, AR",28772,30220,1130,0.72,32140,0.7,20.00
114,"Texas Christian UniversityFort Worth, TX",57220,35778,1270,0.43,12785,0.86,14.00
115,"University of San DiegoSan Diego, CA",56444,29328,-,0.47,9110,0.82,14.00
116,"University of MississippiUniversity, MS",26980,26980,1100,0.98,24043,0.68,17.00
117,"University of Pittsburgh-Pittsburgh CampusPittsburgh, PA",39890,45034,1360,0.5,34525,0.84,13.00
118,"Utah State UniversityLogan, UT",24223,24008,1180,0.94,28063,0.57,19.00
119,"Azusa Pacific UniversityAzusa, CA",43600,17330,1145,0.79,6487,0.64,10.00
120,"Lipscomb UniversityNashville, TN",38824,17100,1240,0.67,5047,0.69,13.00
121,"Illinois State UniversityNormal, IL",23479,12646,1110,0.89,20989,0.66,19.00
122,"South Dakota State UniversityBrookings, SD",12809,16917,1150,0.99,11498,0.6,17.00
123,"Mississippi State UniversityMississippi State, MS",26580,26580,1220,0.76,22657,0.63,16.00
124,"New Jersey Institute of TechnologyNewark, NJ",35934,36702,1335,0.67,13007,0.73,16.00
125,"Benedictine UniversityLisle, IL",32546,20258,-,0.77,2989,0.51,13.00
126,"Indiana University-IndianapolisIndianapolis, IN",33717,27992,1140,0.81,25497,0.54,14.00
127,"University of ToledoToledo, OH",21102,28853,1180,0.95,14939,0.56,18.00
128,"Indiana University-BloomingtonBloomington, IN",40482,33410,1280,0.8,47527,0.81,18.00
129,"University of South DakotaVermillion, SD",12942,12768,1195,0.99,9868,0.61,14.00
130,"University of San FranciscoSan Francisco, CA",58222,29140,1300,0.51,9212,0.71,12.00
131,"Texas State UniversitySan Marcos, TX",23210,18301,1084,0.89,38722,0.56,21.00
132,"University of Wisconsin-MilwaukeeMilwaukee, WI",22020,25697,-,0.88,22481,0.51,17.00
133,"Biola UniversityLa Mirada, CA",46704,12420,1240,0.6,5296,0.69,14.00
134,"Rutgers University-NewarkNewark, NJ",35348,36225,-,0.79,10809,0.68,13.00
135,"University of LouisvilleLouisville, KY",29174,29102,1130,0.81,22139,0.61,14.00
136,"University of Central FloridaOrlando, FL",22467,28657,1272,0.4,69233,0.75,29.00
137,"University of Missouri-St LouisSaint Louis, MO",35820,35040,1130,0.57,14800,0.57,13.00
138,"Louisiana Tech UniversityRuston, LA",16866,12726,1190,0.73,11427,0.58,22.00
139,"Southern Illinois University-CarbondaleCarbondale, IL",13244,31050,1020,0.9,11359,0.56,11.00
140,"University of New Mexico-Main CampusAlbuquerque, NM",26451,21550,1030,0.95,22700,0.53,15.00
141,"University of Maryland-Baltimore CountyBaltimore, MD",30308,25146,1300,0.74,14148,0.71,18.00
142,"University of La VerneLa Verne, CA",49450,15790,1115,0.48,5596,0.65,11.00
143,"The New SchoolNew York, NY",56311,53018,-,0.63,9434,0.71,9.00
144,"University of Louisiana at LafayetteLafayette, LA",24146,23912,1190,0.89,15345,0.52,18.00
145,"George Mason UniversityFairfax, VA",37979,39397,1240,0.89,39527,0.69,16.00
146,"Clarkson UniversityPotsdam, NY",57950,36856,1300,0.77,3603,0.74,12.00
147,"Clemson UniversityClemson, SC",39498,24798,1320,0.38,28747,0.88,16.00
148,"Michigan Technological UniversityHoughton, MI",43089,24929,1220,0.88,7313,0.69,13.00
